model,seed,accuracy,balanced_accuracy,roc_auc,f1_macro,equal_opportunity_gap,equalized_odds_gap,f1_gap,tpr_light,tpr_medium,tpr_dark
baseline,42,0.6341463414634146,0.6389943931994936,0.6904322662325918,0.5990832696715049,0.2551020408163265,0.2551020408163265,0.15600792649972983,0.7551020408163265,0.6756756756756757,0.5
baseline,123,0.6234756097560976,0.6109543618496412,0.6426840296617834,0.58093908005845,0.33886054421768713,0.33886054421768713,0.14485981308411217,0.7346938775510204,0.6081081081081081,0.3958333333333333
baseline,0,0.6128048780487805,0.6113100620968228,0.6414541508410201,0.5756964604023428,0.35884353741496594,0.35884353741496594,0.14064135502902275,0.7755102040816326,0.6216216216216216,0.4166666666666667
baseline,7,0.6326219512195121,0.6228190751793574,0.6729969253029482,0.5911186975469087,0.33886054421768713,0.33886054421768713,0.18818681318681318,0.7346938775510204,0.6486486486486487,0.3958333333333333
baseline,21,0.6265243902439024,0.6262675589316935,0.6492554410080184,0.5895046829465146,0.4204931972789116,0.4204931972789116,0.1854559445940746,0.8163265306122449,0.6486486486486487,0.3958333333333333
mixup,42,0.6189024390243902,0.615433773437029,0.6428769518297461,0.5807042123886565,0.4005102040816326,0.4005102040816326,0.15574859478794073,0.7755102040816326,0.6486486486486487,0.375
mixup,123,0.6402439024390244,0.6222945680352083,0.6456863809007053,0.5946546018181056,0.25637755102040816,0.25637755102040816,0.14929467084639497,0.6938775510204082,0.6081081081081081,0.4375
mixup,0,0.551829268292683,0.5795381925604389,0.609127630071743,0.5291406249999999,0.4417517006802721,0.4417517006802721,0.23338877009582648,0.7959183673469388,0.7162162162162162,0.3541666666666667
mixup,7,0.5823170731707317,0.6020497980346053,0.6402122143847591,0.5551904021856409,0.3380102040816326,0.3380102040816326,0.19228316326530615,0.7755102040816326,0.6891891891891891,0.4375
mixup,21,0.5884146341463414,0.6213178995598962,0.6457346114426961,0.5657077845016134,0.21301020408163263,0.21301020408163263,0.13,0.7755102040816326,0.7162162162162162,0.5625
reweighted,42,0.6326219512195121,0.6417495629107133,0.6881051425815398,0.5993664711174183,0.2755102040816326,0.2755102040816326,0.15494447382337384,0.7755102040816326,0.6891891891891891,0.5
reweighted,123,0.6204268292682927,0.6032133598601315,0.6417073611864714,0.5756935010013845,0.33886054421768713,0.33886054421768713,0.12542087542087543,0.7346938775510204,0.5675675675675675,0.3958333333333333
reweighted,0,0.6189024390243902,0.6173268222101647,0.6437692168565744,0.5815472545417432,0.35884353741496594,0.35884353741496594,0.1455309396485867,0.7755102040816326,0.6351351351351351,0.4166666666666667
reweighted,7,0.6280487804878049,0.6159401941279316,0.6714053174172545,0.585579800950714,0.318452380952381,0.318452380952381,0.18593903638151427,0.7142857142857143,0.6351351351351351,0.3958333333333333
reweighted,21,0.6234756097560976,0.6242057032615904,0.6501356483993488,0.5869807372212352,0.39965986394557823,0.39965986394557823,0.16560632350106042,0.8163265306122449,0.6351351351351351,0.4166666666666667
focalloss,42,0.635670731707317,0.6192017845300537,0.6500753602218605,0.5909061258144226,0.27721088435374147,0.27721088435374147,0.16857142857142854,0.6938775510204082,0.6216216216216216,0.4166666666666667
focalloss,123,0.5899390243902439,0.6090974859829987,0.6422981853258576,0.5622446422945541,0.42091836734693877,0.42091836734693877,0.2377622377622377,0.7959183673469388,0.7297297297297297,0.375
focalloss,0,0.6326219512195121,0.6038885874480014,0.6455658045457285,0.5816404027573797,0.42219387755102045,0.42219387755102045,0.1875,0.7346938775510204,0.5675675675675675,0.3125
focalloss,7,0.6341463414634146,0.6200639054681377,0.6504491469222884,0.5905757528475581,0.2976190476190476,0.2976190476190476,0.14465092918131595,0.7142857142857143,0.6216216216216216,0.4166666666666667
focalloss,21,0.6387195121951219,0.638301079158377,0.6700066316995237,0.6012873940528549,0.35841836734693877,0.35841836734693877,0.132387706855792,0.7959183673469388,0.6621621621621622,0.4375
proposed,42,0.5914634146341463,0.6158075601374571,0.6598058720684873,0.5656230234029095,0.2551020408163265,0.2578616352201258,0.15334584115071914,0.7551020408163265,0.7162162162162162,0.5
proposed,123,0.5594512195121951,0.592265026828239,0.6205582685235426,0.5381125823780926,0.3176020408163265,0.3176020408163265,0.20553754053379902,0.7551020408163265,0.7432432432432432,0.4375
proposed,0,0.5548780487804879,0.581600048230542,0.6180864532465183,0.5316806024155298,0.23511904761904762,0.24528301886792453,0.14557549504950495,0.7142857142857143,0.6891891891891891,0.4791666666666667
proposed,7,0.6021341463414634,0.6192379574365467,0.6439139084825466,0.5731285605654521,0.3171768707482993,0.3171768707482993,0.16161616161616166,0.7755102040816326,0.7027027027027027,0.4583333333333333
proposed,21,0.5945121951219512,0.6084041719418822,0.6438415626695604,0.5645785922465765,0.14752252252252251,0.20754716981132076,0.15360857232902614,0.6530612244897959,0.6891891891891891,0.5416666666666666
