model,seed,accuracy,balanced_accuracy,roc_auc,f1_macro,equal_opportunity_gap,equalized_odds_gap,f1_gap,tpr_light,tpr_medium,tpr_dark
baseline,42,0.8175750834260289,0.8177512274311055,0.8995931659803611,0.8171168578573413,0.08694764771915497,0.0927485508038937,0.04201020808794664,0.7698744769874477,0.7682119205298014,0.6829268292682927
baseline,123,0.8364849833147943,0.8365685381691479,0.9199942587899905,0.8364040153453636,0.09674456577201762,0.09674456577201762,0.04773561811505511,0.8284518828451883,0.8013245033112583,0.7317073170731707
mixup,42,0.8654060066740823,0.8655418514412416,0.9317092968007602,0.8652132161155821,0.09158455822968825,0.09158455822968825,0.07002367510471685,0.8242677824267782,0.847682119205298,0.7560975609756098
mixup,123,0.8464961067853171,0.8465983330693696,0.9182026053215078,0.8463773069036227,0.10935228557583587,0.10935228557583587,0.06986301369863013,0.8075313807531381,0.8410596026490066,0.7317073170731707
reweighted,42,0.8186874304783093,0.8188821468165981,0.8999990101362053,0.8181248378740997,0.08276354730074498,0.08276354730074498,0.03782505910165479,0.7656903765690377,0.7615894039735099,0.6829268292682927
reweighted,123,0.8331479421579533,0.8332351718403548,0.9197913367120685,0.8330568485688818,0.08419226451678741,0.08419226451678741,0.046142754145638065,0.8158995815899581,0.8079470198675497,0.7317073170731707
focalloss,42,0.8186874304783093,0.8188227549889135,0.8971630503642698,0.8184277208829743,0.08076239702794386,0.08076239702794386,0.03974562798092207,0.7740585774058577,0.7880794701986755,0.7073170731707317
focalloss,123,0.8342602892102335,0.8343438192904656,0.9161189420335762,0.8341782196357765,0.08837636493519752,0.08837636493519752,0.03389830508474567,0.8200836820083682,0.8145695364238411,0.7317073170731707
proposed,42,0.8676307007786429,0.8677220264491605,0.926299691162496,0.8675513824767833,0.07381683088354063,0.07381683088354063,0.06003325457250375,0.8410041841004184,0.8543046357615894,0.7804878048780488
proposed,123,0.8576195773081201,0.8576699596135571,0.9341691083306937,0.8575982575982576,0.06888458005918974,0.06888458005918974,0.051826279674380915,0.8493723849372385,0.847682119205298,0.7804878048780488
